766723500,4,0.9979
739273600,4,0.9560
156621880,4,1.0000
156551275,1,1.0000
793980800,2,0.4080
169711900,4,0.7616
199868467,1,0.9998
589572100,4,0.8808
224843800,2,1.0000
211596630,1,1.0000
478375699,2,1.0000
157732733,3,0.9995
191626000,2,1.0000
733521000,3,0.8757
346084800,2,1.0000
156114825,4,1.0000
157696781,3,0.6273
284939400,2,0.8292
651357200,3,1.0000
145652100,1,0.9934
586902000,3,1.0000
808543700,2,0.5867
502550200,4,0.5964
791749200,4,0.9998
485261000,3,0.9996
245902800,2,1.0000
217787088,2,0.9994
166044200,4,0.9998
179526624,2,0.8271
143152217,3,1.0000
285008148,1,1.0000
258798451,2,1.0000
824998500,4,0.8775
273215200,2,1.0000
491391200,3,0.8281
279829100,2,1.0000
248786921,1,1.0000
199855258,1,0.9999
156583865,1,0.9999
172328996,1,0.9977
853154999,4,1.0000
595410800,3,0.9995
149455044,4,0.9979
409983499,3,1.0000
209417803,4,1
325610200,2,0.9884
199873754,1,0.9979
331449162,2,0.9998
158129761,4,0.9993
201005896,1,1.0000
534513500,3,0.9999
158150126,4,0.9919
165114956,1,1
704249700,3,1.0000
219767800,4,1.0000
156585313,4,1.0000
227643039,2,1.0000
887083200,4,1.0000
836052600,4,1.0000
195319427,1,0.9452
163058353,3,0.9998
433745800,3,0.9994
319618200,4,0.9993
158154506,1,0.8421
179230661,2,0.9999
285516579,1,0.8632
136825754,2,1.0000
163058266,1,1.0000
157776065,1,1.0000
158132644,1,0.9953
211596686,2,1.0000
209423387,1,0.9987
833297700,4,1.0000
491761900,3,1.0000
188226200,2,0.9919
313833600,3,0.5307
402475500,3,1.0000
900251400,4,1.0000
143750634,2,0.6595
351071800,3,0.9984
155342273,1,1.0000
179230707,1,0.9808
238133693,2,0.9997
157777729,4,0.9999
199854995,1,1.0000
156611349,2,0.9913
855625100,4,1.0000
199841844,2,1.0000
217787885,2,0.9998
165103100,4,0.5266
158277235,1,1.0000
257611400,2,1.0000
157785401,4,0.9974
158040318,1,0.7539
904873199,4,0.9883
759562800,4,0.8423
154807637,1,0.6772
523162699,3,0.9999
632364300,3,1.0000
316583636,3,0.8688
132246917,3,0.8953
154748280,2,0.9934
774091900,4,1.0000
179604907,1,1
374128600,1,1.0000
428577199,3,0.9989
156532425,1,0.9205
285239597,1,1.0000
377948800,3,1.0000
907091100,4,0.9999
158038444,1,0.8457
698398700,3,0.9998
847097300,4,1.0000
139185984,1,1.0000
